name,name_kr,original_symbol,symbol,exchange,type
Australia 7-Year,호주 7년,AU7YT,AU7YT,ASX,bond
Australia 8-Year,호주 8년,AU8YT,AU8YT,ASX,bond
Australia 9-Year,호주 9년,AU9YT,AU9YT,ASX,bond
Australia 10-Year,호주 10년,AU10YT,AU10YT,ASX,bond
Australia 12-Year,호주 12년,AU12YT,AU12YT,ASX,bond
Australia 15-Year,호주 15년,AU15YT,AU15YT,ASX,bond
Australia 20-Year,호주 20년,AU20YT,AU20YT,ASX,bond
Australia 30-Year,호주 30년,AU30YT,AU30YT,ASX,bond
Brazil 3-Month,브라질 3개월,BR3MT,BR3MT,BVMF,bond
Brazil 6-Month,브라질 6개월,BR6MT,BR6MT,BVMF,bond
Brazil 9-Month,브라질 9개월,BR9MT,BR9MT,BVMF,bond
Brazil 1-Year,브라질 1년,BR1YT,BR1YT,BVMF,bond
Brazil 2-Year,브라질 2년,BR2YT,BR2YT,BVMF,bond
Brazil 3-Year,브라질 3년,BR3YT,BR3YT,BVMF,bond
Brazil 5-Year,브라질 5년,BR5YT,BR5YT,BVMF,bond
Brazil 8-Year,브라질 8년,BR8YT,BR8YT,BVMF,bond
Brazil 10-Year,브라질 10년,BR10YT,BR10YT,BVMF,bond
United Kingdom 1-Month,영국 1개월,GB1MT,GB1MT,LON,bond
United Kingdom 3-Month,영국 3개월,GB3MT,GB3MT,LON,bond
United Kingdom 6-Month,영국 6개월,GB6MT,GB6MT,LON,bond
United Kingdom 1-Year,영국 1년,GB1YT,GB1YT,LON,bond
United Kingdom 2-Year,영국 2년,GB2YT,GB2YT,LON,bond
United Kingdom 3-Year,영국 3년,GB3YT,GB3YT,LON,bond
United Kingdom 4-Year,영국 4년,GB4YT,GB4YT,LON,bond
United Kingdom 5-Year,영국 5년,GB5YT,GB5YT,LON,bond
United Kingdom 6-Year,영국 6년,GB6YT,GB6YT,LON,bond
United Kingdom 7-Year,영국 7년,GB7YT,GB7YT,LON,bond
United Kingdom 8-Year,영국 8년,GB8YT,GB8YT,LON,bond
United Kingdom 9-Year,영국 9년,GB9YT,GB9YT,LON,bond
United Kingdom 10-Year,영국 10년,GB10YT,GB10YT,LON,bond
United Kingdom 15-Year,영국 15년,GB15YT,GB15YT,LON,bond
United Kingdom 12-Year,영국 12년,GB12YT,GB12YT,LON,bond
United Kingdom 20-Year,영국 20년,GB20YT,GB20YT,LON,bond
United Kingdom 25-Year,영국 25년,GB25YT,GB25YT,LON,bond
United Kingdom 30-Year,영국 30년,GB30YT,GB30YT,LON,bond
United Kingdom 40-Year,영국 40년,GB40YT,GB40YT,LON,bond
United Kingdom 50-Year,영국 50년,GB50YT,GB50YT,LON,bond
Italy 1-Month,이탈리아 1개월,IT1MT,IT1MT,BIT,bond
Italy 3-Month,이탈리아 3개월,IT3MT,IT3MT,BIT,bond
Italy 6-Month,이탈리아 6개월,IT6MT,IT6MT,BIT,bond
Italy 9-Month,이탈리아 9개월,IT9MT,IT9MT,BIT,bond
Italy 1-Year,이태리 1년,IT1YT,IT1YT,BIT,bond
Italy 2-Year,이탈리아 2년,IT2YT,IT2YT,BIT,bond
Italy 3-Year,이탈리아 3년,IT3YT,IT3YT,BIT,bond
Italy 4-Year,이탈리아 4년,IT4YT,IT4YT,BIT,bond
Italy 5-Year,이탈리아 5년,IT5YT,IT5YT,BIT,bond
Italy 6-Year,이탈리아 6년,IT6YT,IT6YT,BIT,bond
Italy 7-Year,이탈리아 7년,IT7YT,IT7YT,BIT,bond
Italy 8-Year,이탈리아 8년,IT8YT,IT8YT,BIT,bond
Italy 9-Year,이탈리아 9년,IT9YT,IT9YT,BIT,bond
Italy 10-Year,이탈리아 10년,IT10YT,IT10YT,BIT,bond
Italy 15-Year,이탈리아 15년,IT15YT,IT15YT,BIT,bond
Italy 20-Year,이탈리아 20년,IT20YT,IT20YT,BIT,bond
Italy 30-Year,이탈리아 30년,IT30YT,IT30YT,BIT,bond
